Performance_ID,Campaign_ID,Date,Impressions,Clicks,Conversions,Revenue,Spend
84,221,2024-07-18,138824,6308,595,202208.67,10675.15
85,195,2024-02-16,173353,3731,280,90372.11,9670.8
86,183,2024-03-18,72403,4629,401,22161.57,2841.62
87,228,2025-10-09,100500,3129,105,24149.63,5528.42
88,251,2024-06-14,141414,15983,1957,390675.87,11464.81
89,117,2025-07-12,109766,5514,630,145379.71,10188.35
90,33,2025-01-17,40766,3189,277,65987.72,1249.84
91,46,2025-09-19,84766,3843,443,72917.88,5498.61
92,198,2025-09-05,136473,12040,827,308333.81,3806.16
93,271,2025-02-18,129553,10795,1221,228274.46,19228.18
94,300,2024-08-29,167943,7713,385,122226.97,5611.26
95,88,2025-04-24,45734,4476,363,51996.06,8439.05
96,276,2025-01-31,179396,3483,55,3653.85,2119.55
97,11,2025-12-20,186001,20103,1113,174271.2,3560.6
98,58,2024-05-31,6353,305,14,3535.53,361.36
99,12,2025-05-26,176566,16603,1760,329645.7,40668.56
100,35,2025-12-29,75958,4756,457,121871.66,475.9
101,26,2025-09-19,94397,8464,1109,184939.49,21653.4
102,143,2024-05-06,39486,3190,429,136735.6,1889.49
103,135,2025-06-02,198582,14143,1157,66514.17,33264.8
104,194,2025-05-04,33671,3036,189,63212.29,1699.81
105,279,2025-02-06,17496,1667,103,21449.64,1014.03
106,102,2025-07-30,127871,6773,313,78675.72,20100.53
107,135,2024-07-02,82024,7477,674,266865.35,13466.05
108,89,2025-03-19,119295,2131,88,5726.43,1388.04
109,273,2025-04-09,37822,1464,121,44321.3,979.09
110,182,2025-10-24,70250,1635,44,3046.91,3086.64
111,281,2024-02-13,68234,1311,20,5675.59,1751.68
112,51,2025-09-20,27201,1162,56,10942.31,1615.93
113,87,2024-01-22,44741,7742,682,38342.14,26771.69
114,249,2024-11-09,134382,7277,547,172202.28,9074.88
115,198,2024-05-16,143223,10784,1252,342681.55,7411.12
116,41,2024-11-08,77069,6588,498,96703.63,11011.69
117,171,2024-11-05,189166,29992,4274,1695088.37,109372.5
118,216,2024-08-07,169676,13466,1115,273363.82,31666.11
119,289,2025-12-05,47348,5473,922,318454.21,14528.7
120,97,2024-02-10,146992,3491,137,15700.34,7940.54
121,30,2025-03-27,143221,5759,414,22769.3,17092.69
122,22,2024-07-30,162219,15871,2108,662433.87,11750.0
123,223,2024-11-16,179988,13964,663,126340.89,21918.3
124,285,2024-10-29,34429,1825,90,30193.3,4437.9
125,145,2024-02-24,86000,5674,325,27542.71,1604.46
126,269,2024-12-31,188308,14466,825,164317.39,7958.23
127,139,2024-02-05,6222,287,13,2428.88,294.25
128,216,2025-10-20,113249,19970,2102,544416.92,70407.57
129,172,2024-04-11,102869,3305,124,46002.65,2736.57
130,55,2024-05-13,69860,1397,49,9203.16,877.24
131,267,2024-04-01,169418,4148,110,36619.94,3102.55
132,4,2025-08-02,158186,2009,38,9974.31,1480.55
133,56,2024-10-25,70082,2163,75,7324.77,1833.26
134,118,2024-10-31,60135,3416,199,52430.5,4956.05
135,118,2025-11-30,143942,4446,158,8344.72,3783.66
136,213,2024-08-28,35870,4166,298,67763.42,2335.35
137,168,2024-11-05,91023,14134,1557,222090.87,63339.41
138,177,2025-01-05,150280,5548,135,33172.53,4861.96
139,31,2025-06-16,146583,1511,38,13924.57,2029.88
140,270,2025-05-28,102149,2213,62,18735.16,2592.71
141,289,2024-09-30,194645,14807,1905,379734.33,31946.97
142,229,2025-08-24,15826,2826,489,170526.94,5146.8
143,245,2024-12-01,139894,9918,787,156340.64,24029.33
144,251,2025-11-23,134984,11838,1726,104740.33,3798.07
145,27,2024-06-26,196456,14441,1574,322687.01,6832.6
146,91,2024-10-12,78447,2113,49,11325.17,1812.7
147,164,2025-03-25,168801,7219,397,132549.28,18888.56
148,178,2025-02-06,122265,8304,458,33109.64,8578.83
149,161,2024-08-06,149474,12749,1772,139409.8,2485.64
150,226,2025-05-28,90844,3640,158,11737.53,6172.42
151,52,2024-05-05,184853,7341,215,21063.91,7242.28
152,271,2025-10-19,113627,9175,658,89354.65,10599.0
153,4,2025-06-30,45519,2261,34,5021.55,3338.87
154,48,2024-02-26,123467,11422,862,315481.23,16210.93
155,117,2024-09-10,66683,5808,355,130614.31,3572.79
156,21,2024-10-24,76055,8143,741,172544.93,2327.91
157,193,2024-12-30,6602,151,4,1437.62,122.77
158,109,2024-04-28,40006,4018,669,46676.18,13946.36
159,259,2024-09-22,96457,7135,662,130414.95,976.2
160,55,2024-10-10,86098,1205,33,2934.88,840.71
161,191,2024-10-11,63766,6796,1070,110298.61,26203.98
162,275,2024-12-23,152356,16149,2720,703838.04,79074.34
163,178,2025-05-31,191467,7501,757,235054.52,4378.26
164,12,2025-09-10,68524,2135,154,8331.66,4918.14
165,282,2025-12-10,189669,30464,4355,1468958.0,138144.63
166,9,2024-01-25,128214,18518,2470,592228.24,77525.93
167,31,2024-11-15,8233,305,3,928.96,452.84
168,69,2025-03-25,116364,1899,53,20237.4,1552.18
169,228,2024-05-22,125504,6668,250,68783.55,16848.28
170,27,2024-12-04,28028,1631,142,55857.0,363.21
171,40,2025-08-21,5801,259,24,9025.19,533.81
172,51,2025-05-24,109671,3896,115,25488.65,4221.57
173,252,2024-10-07,51805,4429,652,242298.24,7475.85
174,150,2025-09-23,105708,4263,186,56171.52,10787.06
175,213,2024-07-30,144047,13938,965,173176.45,1952.76
176,182,2025-01-27,161922,9295,335,59237.83,8144.72
177,257,2025-03-15,19026,393,14,4256.69,517.24
178,14,2024-05-28,154954,4997,487,77931.29,8031.24
179,66,2024-08-18,40586,3265,496,113198.09,11220.74
180,23,2024-02-01,32360,2107,307,43489.39,1083.35
181,252,2025-07-24,40497,6100,798,61804.47,21267.98
182,208,2024-03-31,16489,2329,277,26847.14,5308.09
183,291,2025-10-11,181938,5531,76,16631.8,4051.1
184,21,2024-07-11,163054,12264,950,158477.42,7243.01
185,235,2024-08-19,115438,6229,544,55244.18,1625.91
186,245,2024-07-16,182620,12206,815,176751.07,19448.08
187,278,2025-10-31,145368,9854,813,251023.61,18208.21
188,147,2025-02-09,162940,17061,1954,780519.83,13415.02
189,128,2025-01-23,85781,5669,337,107403.11,6830.17
190,279,2024-09-17,149408,15415,881,140428.53,2730.63
191,238,2024-02-14,55957,5794,398,124663.23,1228.19
192,30,2025-12-25,169378,4997,170,54165.05,11911.89
193,198,2025-03-26,186520,13192,1795,456105.33,7428.73
194,104,2024-03-22,39681,4062,464,131647.11,3195.95
195,155,2024-03-12,176359,17072,1606,564576.48,60841.93
196,111,2025-07-04,64087,6109,776,308354.93,20827.99
197,251,2024-10-23,41398,3080,199,24011.12,735.83
198,226,2024-06-28,193983,11276,797,267402.42,22582.99
199,72,2024-07-16,46163,2350,164,41684.14,5071.82
200,76,2025-03-27,112028,6082,587,206974.07,14350.71
201,157,2024-12-25,195084,11599,555,166051.75,15526.59
202,100,2024-10-25,181799,10746,832,192453.51,20772.48
203,131,2025-04-29,191669,15308,1505,336166.62,4751.05
204,25,2024-07-20,178612,14628,1050,176715.99,3207.13
205,233,2025-09-04,199283,7193,156,22882.49,6386.44
206,214,2025-07-14,180935,7671,287,46886.67,5333.02
207,55,2025-03-27,64429,1959,63,21393.06,1383.09
208,22,2024-01-24,88894,7339,402,51921.25,3456.08
209,101,2024-04-28,156334,11132,343,33418.39,15187.82
210,111,2024-08-09,37578,6253,553,115533.8,13269.44
211,180,2024-11-12,160447,25584,3351,504365.15,78225.65
212,255,2025-11-23,81631,7778,403,74695.51,12612.91
213,291,2025-04-24,136037,2033,85,20531.09,973.46
214,124,2025-10-05,59693,5102,287,70137.47,4133.19
215,63,2024-11-18,11575,779,39,13902.86,1990.03
216,246,2024-12-02,64420,4838,531,42236.68,23090.05
217,194,2024-09-13,85820,4866,611,177981.35,3186.14
218,101,2025-04-05,131587,9626,555,178247.67,17839.76
219,201,2025-01-03,20103,1652,119,10491.82,3782.4
220,296,2024-08-22,121134,13669,1646,496196.44,7341.92
221,133,2025-05-08,139686,2797,58,3579.94,5356.64
222,13,2024-03-17,72582,7341,747,62247.7,2483.75
223,280,2024-03-30,165281,1780,30,11708.51,1035.63
224,19,2025-05-22,77789,7028,304,29985.18,4470.16
225,156,2025-01-17,176569,3937,123,22211.74,3277.9
226,284,2025-04-08,136259,9245,697,91760.67,16646.91
227,263,2024-05-05,105348,9116,662,75771.32,12090.36
228,102,2025-01-05,97551,4006,89,5967.46,8188.2
229,29,2025-04-01,105687,10047,793,106804.24,18171.37
230,195,2024-10-01,74826,1757,35,12232.86,3623.42
231,264,2025-12-03,104529,11110,1902,469644.79,30870.67
232,228,2025-08-19,79584,5386,177,25726.4,9432.91
233,134,2025-08-12,86472,5460,484,163635.11,8031.79
234,94,2025-09-06,99156,8413,1146,263053.46,3939.01
235,2,2025-05-14,23898,1818,126,43463.47,2201.78
236,280,2025-12-13,36987,1502,48,13843.34,1583.95
237,128,2024-04-20,68442,4565,96,38349.87,8460.65
238,226,2025-01-25,144555,5759,320,124037.29,10786.11
239,108,2024-12-06,5905,406,36,10474.47,230.96
240,175,2025-05-21,107322,4629,103,20102.15,11791.64
241,201,2024-05-12,120520,4043,203,16204.78,8784.58
242,125,2025-12-10,175512,7146,343,17678.39,10778.39
243,134,2024-04-17,84452,7410,416,22069.43,9004.86
244,68,2025-01-01,69014,2284,55,4072.1,2934.15
245,210,2025-03-23,140658,11890,1081,224197.14,9128.5
246,246,2024-10-03,26808,3612,454,103467.04,5783.19
247,82,2024-01-02,150283,6954,212,43175.24,6455.39
248,201,2025-07-16,190245,10291,1188,326537.29,23264.89
249,147,2024-06-11,15754,1207,113,38922.42,123.3
250,164,2024-03-24,66870,1806,139,33421.94,2649.56
251,123,2024-10-11,183545,7448,90,13477.34,7355.19
252,227,2024-10-28,139811,12698,1088,218628.63,4540.54
253,65,2024-05-27,54087,899,33,10148.17,1069.67
254,235,2024-11-29,168283,12734,1061,184361.69,3073.88
255,200,2025-04-20,55395,1982,194,11353.44,1132.43
256,276,2024-04-03,185467,3523,117,19998.15,4953.34
257,248,2024-01-21,116610,17271,2027,709214.6,63165.2
258,160,2025-02-18,21621,1849,105,28208.86,282.68
259,243,2024-11-04,113532,9344,877,54672.14,16290.81
260,246,2025-09-25,173079,11985,1016,113170.43,27238.9
261,40,2024-11-14,119799,10514,1260,348163.12,7214.88
262,122,2025-10-08,184009,14154,1088,90722.13,7934.92
263,157,2025-05-15,176622,4403,190,54266.09,7898.55
264,116,2025-10-01,134756,3574,187,66359.18,8546.28
265,206,2025-03-10,129467,10580,1457,146472.21,2564.6
266,172,2025-05-21,133600,6600,265,101113.88,4011.87
267,188,2025-12-18,103580,8572,744,78677.15,6658.01
268,99,2025-09-19,154824,10186,1177,91405.48,22522.83
269,292,2024-11-16,58654,3174,196,14533.79,5959.3
270,53,2024-07-25,52752,2530,115,31290.41,3438.11
271,13,2024-09-14,6259,402,42,9830.09,312.56
272,36,2024-11-19,129040,5012,295,111446.39,12381.41
273,234,2024-03-29,150517,5683,355,78673.04,11968.61
274,196,2025-03-30,138853,6105,288,107706.28,6994.15
275,167,2024-07-18,83160,9940,1170,289059.32,7885.4
276,103,2025-09-30,143806,14078,1609,323942.55,24453.72
277,288,2024-10-18,169386,26056,3321,1224644.22,85412.49
278,59,2024-06-13,120449,4003,235,46933.51,10449.45
279,133,2024-09-29,166535,4450,135,26838.07,12702.66
280,23,2025-06-02,72467,7183,447,112021.74,1545.83
281,267,2025-07-07,98332,2698,69,23008.6,2437.98
282,236,2024-03-05,27167,1159,54,4413.65,2152.45
283,145,2024-11-28,77356,7282,624,192735.71,1855.69
284,10,2024-01-25,63915,7075,845,311594.65,31107.72
285,235,2025-06-08,177903,10544,1228,95012.02,3725.48
286,111,2024-12-30,69530,10927,999,220056.41,43289.39
287,211,2024-09-28,39736,1539,31,3830.94,711.85
288,247,2025-05-11,116000,13170,1472,529875.8,7618.05
289,173,2024-06-17,115399,8030,863,55420.44,11713.76
290,274,2024-12-17,59770,3862,120,34621.48,7480.42
291,210,2024-05-23,20770,2034,110,36531.48,1517.26
292,104,2025-06-22,195308,15889,1589,386862.33,12608.8
293,238,2024-03-11,183086,13111,1863,256469.84,4627.57
294,197,2024-04-11,23294,2940,471,173519.64,14531.53
295,185,2024-05-13,38960,2957,313,28990.46,4310.4
296,77,2024-01-27,112243,3383,53,6686.3,3924.59
297,102,2024-02-22,118168,2884,172,48319.12,4117.65
298,244,2025-01-02,120536,4923,217,44314.47,7118.36
299,89,2024-08-05,11561,562,12,3273.83,833.31
300,132,2024-12-13,67376,706,12,2227.18,423.08
301,127,2025-11-20,66915,4872,398,69924.82,1978.2
302,8,2025-09-20,77128,2981,211,58856.66,7011.95
303,175,2025-07-23,28080,2040,83,29138.81,4010.01
304,179,2024-10-06,25870,763,37,14531.33,1027.33
305,65,2025-11-07,195583,5965,132,42516.89,6526.17
306,252,2025-10-01,68700,11043,1087,299641.88,27120.28
307,3,2024-11-10,61535,2317,105,20467.5,1945.22
308,123,2024-02-13,35238,469,7,388.47,463.55
309,10,2024-01-10,117951,11914,1852,408375.91,59318.04
310,85,2024-04-06,158428,6102,191,24608.98,3486.82
311,161,2024-03-14,121669,13218,1706,104645.19,7259.84
312,269,2025-06-09,176027,10928,1402,432466.91,2083.62
313,45,2024-12-22,190406,22689,2084,115632.76,3572.07
314,191,2024-05-12,23446,1590,155,44175.44,5222.85
315,175,2025-08-20,141616,5581,283,20657.96,8047.2
316,164,2025-12-08,54783,2958,125,42730.5,6618.24
317,151,2024-07-14,86089,13365,1920,323853.58,55835.73
318,285,2025-05-11,172630,13026,389,78305.86,29272.09
319,115,2024-02-18,85798,6382,146,20869.17,8667.81
320,245,2025-12-12,118048,7916,279,100550.03,17924.69
321,227,2024-06-03,134514,9286,1385,90396.84,5646.34
322,101,2024-01-21,182012,8694,427,121831.73,17999.85
323,204,2025-06-29,34350,4937,443,164794.38,8038.11
324,77,2024-01-06,97437,2497,39,6630.94,2504.42
325,270,2025-04-14,153850,7145,105,15271.56,8719.28
326,186,2025-08-16,25511,1497,169,34409.64,727.03
327,192,2025-06-20,138606,8179,953,268343.18,3392.18
328,117,2025-08-31,191249,13986,1470,542210.87,12805.16
329,32,2025-09-05,60269,2231,93,21631.82,2015.19
330,36,2024-08-17,190536,13323,1009,403193.52,17379.06
331,80,2025-02-19,34535,1396,159,31222.28,1926.38
332,270,2024-02-26,131585,5003,171,46963.25,5881.21
333,140,2025-06-08,138927,3164,89,29854.44,4193.09
334,148,2024-02-09,85544,5726,447,40120.02,6519.37
335,2,2024-06-15,85731,5331,255,88635.56,4912.53
336,294,2025-05-20,94123,8295,1191,413973.03,1471.19
337,74,2024-01-29,33759,1301,43,16847.6,2286.8
338,105,2024-03-07,167190,14704,1645,155302.33,9879.65
339,270,2025-06-24,88342,2983,62,22180.03,2558.28
340,91,2025-01-12,126309,2274,45,12405.5,3027.04
341,27,2024-12-11,184426,10822,1533,277395.47,4431.2
342,149,2024-08-19,36345,464,9,3199.17,228.37
343,150,2025-06-02,194693,15182,507,101341.38,18140.73
344,1,2025-03-02,153957,14385,1042,291724.96,30452.15
345,228,2025-03-27,84351,1797,45,9887.87,3623.26
346,145,2024-06-04,101883,7465,1094,114908.02,2599.39
347,143,2025-05-08,25210,1994,143,27931.76,279.71
348,151,2024-09-12,93050,6823,651,148192.18,20197.18
349,219,2024-09-29,104423,1317,58,20108.42,1576.2
350,208,2025-06-26,96016,12372,2142,393375.4,27137.46
351,300,2024-06-01,38594,1291,53,8265.65,1592.07
352,142,2025-05-30,110033,5010,441,33867.81,8739.68
353,187,2024-04-24,97812,9097,637,225594.04,1464.07
354,292,2024-08-29,87876,4829,236,74257.5,10474.02
355,42,2024-10-03,121855,20853,2707,660242.61,103719.62
356,12,2025-08-15,175069,6006,502,69312.22,8401.78
357,154,2024-08-24,119163,12823,1156,454105.23,5041.24
358,154,2024-10-12,72114,6774,773,212600.54,4226.52
359,199,2025-12-29,21042,1475,135,48212.94,370.79
360,42,2024-11-13,49978,4174,667,230091.54,19561.89
361,259,2024-07-06,124482,9688,763,199971.13,4162.9
362,288,2024-08-16,49107,6977,915,184331.56,20403.42
363,75,2025-08-29,88090,3699,124,7056.66,5553.18
364,273,2025-08-12,190358,10819,1165,422122.93,26550.24
365,169,2025-08-03,56655,7907,1193,345272.64,19776.88
366,128,2025-04-21,87816,2126,112,42278.54,4468.29
367,79,2025-12-03,101983,7822,483,135043.46,4317.1
368,28,2025-07-07,196111,7659,270,103202.23,19375.29
369,170,2025-11-29,68943,3184,223,87248.77,2908.36
370,182,2025-10-14,169037,11604,421,38197.39,20583.37
371,71,2025-03-14,40611,4786,372,136083.1,1671.06
372,283,2024-07-02,162505,3830,88,6376.12,5042.29
373,88,2025-03-29,54998,7319,588,128585.57,17889.91
374,143,2025-03-06,109799,7454,417,150141.05,3278.47
375,272,2025-02-04,87144,6983,1016,273482.73,2861.38
376,222,2024-11-22,160948,3015,143,17236.54,3903.32
377,192,2024-02-14,51824,2904,242,93440.65,1092.43
378,32,2025-04-30,110817,2983,90,19784.38,3197.56
379,259,2024-04-07,125995,9985,660,169970.25,3920.49
380,31,2024-10-23,174997,3491,140,30354.87,4497.82
381,243,2024-05-08,163201,5206,327,95930.38,5484.63
382,258,2025-02-26,162935,5647,223,23544.79,8310.77
383,226,2025-03-10,109596,6371,302,59893.75,11868.32
384,95,2024-12-29,197109,16307,761,185014.59,26688.47
385,42,2025-03-02,151688,22564,3990,279331.13,55827.12
386,123,2024-06-19,112847,4740,184,18284.28,3028.33
387,94,2025-05-28,68131,6734,967,365425.14,4046.88
388,289,2025-01-06,145739,14158,1728,312586.58,48792.05
389,71,2024-04-13,85078,6733,975,372541.69,4854.82
390,69,2025-10-11,195460,8144,225,15135.74,9104.12
391,36,2025-03-31,33186,1029,31,5216.47,1560.23
392,253,2025-08-03,63155,6046,666,137033.63,5731.04
393,176,2024-05-13,94256,6562,464,74670.17,8099.77
394,118,2024-07-01,68639,2722,197,33692.16,2518.16
395,101,2025-05-30,101649,6673,510,56322.07,19793.98
396,212,2025-07-22,16527,960,39,7861.18,2825.48
397,183,2024-10-16,23547,2638,384,22042.4,600.11
398,87,2025-04-30,116933,14916,2396,694245.75,28165.63
399,193,2025-12-28,29746,1475,69,16123.25,2170.84
400,229,2024-03-22,52866,5842,1036,288538.67,19287.97
401,65,2025-11-07,39665,1307,45,16065.83,1655.68
402,226,2025-01-03,57557,5056,369,104661.93,12592.26
403,168,2024-02-10,181192,12448,1179,120110.12,35557.58
404,77,2024-05-17,84843,4100,137,16349.95,3635.93
405,150,2024-02-09,60101,2569,95,18689.55,4928.77
406,251,2025-11-21,77367,8434,1186,225977.6,4941.6
407,159,2025-12-17,46906,2256,92,19937.71,2756.19
408,265,2024-10-08,172362,6739,324,104326.32,9824.05
409,212,2024-05-24,146881,5394,415,60838.9,10809.45
410,256,2024-08-15,111028,9487,605,119874.6,1377.39
411,276,2025-02-05,197149,7401,269,91126.33,10083.64
412,207,2024-05-21,135000,13017,674,123408.1,25943.45
413,105,2024-03-02,51050,3296,159,26037.31,6512.56
414,8,2024-10-04,97997,5776,195,65421.08,15631.0
415,196,2024-11-16,116063,3080,87,34213.66,2211.61
416,179,2025-04-26,98974,2877,45,12154.35,3233.87
417,156,2024-07-26,97309,4949,218,41990.7,10765.56
418,241,2024-03-17,22981,959,82,7801.73,770.95
419,223,2024-02-07,160429,8589,258,54790.47,25179.63
420,271,2025-12-05,63415,2018,170,15615.2,2941.08
421,63,2025-09-30,37764,1228,69,9760.76,2011.72
422,155,2025-06-14,109209,6895,977,212780.81,19711.03
423,57,2024-05-24,86250,5382,298,102979.74,12342.26
424,294,2024-08-18,160003,11555,671,223723.35,5667.33
425,168,2025-09-15,11822,1168,115,43090.43,2579.81
426,19,2024-07-29,181647,17986,1748,497119.42,15143.95
427,176,2025-10-24,118273,10394,544,188984.18,25217.11
428,254,2024-10-11,16101,1566,246,68776.71,7261.62
429,19,2024-12-27,120149,5518,430,106043.64,12967.46
430,181,2024-04-08,142421,5931,659,140834.46,8168.26
431,268,2024-01-12,152718,12931,1225,127442.69,23695.39
432,147,2024-12-17,22084,2032,186,20061.89,842.46
433,249,2025-05-15,143421,9437,191,13805.17,16096.76
434,221,2025-04-02,6891,413,47,15280.3,1023.34
435,238,2025-02-16,175505,15397,1624,321432.66,1937.69
436,14,2024-08-21,34355,2299,222,55159.93,2844.29
437,261,2024-01-05,6559,399,20,3264.04,214.15
438,29,2025-03-13,144245,8393,848,334303.32,4505.14
439,30,2024-03-06,16528,979,35,9617.82,2414.13
440,145,2025-10-25,165609,9486,670,140231.04,5704.29
441,236,2025-02-06,171585,13201,1229,282487.68,30495.81
442,237,2024-02-13,73507,3512,116,26890.58,8149.48
443,171,2025-07-15,173180,14646,1311,68580.73,23101.95
444,257,2025-04-23,125779,2737,30,11445.82,3917.35
445,77,2024-06-04,27088,886,30,5703.59,630.97
446,12,2024-10-10,163593,12072,883,97673.42,27511.75
447,285,2024-01-08,152592,7465,401,108723.98,17910.22
448,4,2024-10-06,137920,3312,59,20454.62,3719.32
449,198,2024-06-15,82490,6539,930,190489.87,2223.5
450,62,2024-07-09,123894,8050,378,130305.57,14333.09
451,161,2024-11-12,21957,1248,92,12108.82,725.87
452,108,2025-08-10,52733,2969,312,67887.7,1607.13
453,134,2025-06-18,193804,7068,776,136901.42,14526.9
454,66,2024-07-21,12722,858,78,4205.74,4092.21
455,170,2025-04-01,165253,15861,1187,389421.06,34162.42
456,18,2025-10-11,171330,6323,288,17359.77,3776.39
457,112,2024-03-28,140395,7887,897,253836.43,3982.57
458,156,2025-08-16,92236,5070,190,73602.5,4502.72
459,149,2025-02-18,8926,409,12,1943.1,563.62
460,5,2024-05-29,100467,3308,367,39145.13,1895.85
461,187,2024-03-21,19272,1111,105,19859.35,372.94
462,276,2024-10-21,158970,4534,50,16095.95,5978.11
463,183,2025-11-26,159537,8844,595,121598.89,5683.9
464,114,2025-06-16,140593,17578,1944,273270.58,73392.18
465,16,2025-03-12,26868,444,7,2699.76,351.85
466,172,2025-11-29,46250,2089,59,3147.54,2311.48
467,127,2024-12-07,54825,3521,384,102151.59,375.57
468,72,2024-07-16,6012,527,39,12271.58,1210.05
469,299,2024-11-14,178333,23612,2074,430809.21,58266.16
470,277,2025-04-15,174622,1979,51,17331.41,2061.5
471,73,2025-12-21,13229,603,27,7185.68,586.93
472,280,2024-11-23,41044,834,38,12679.91,715.28
473,259,2025-02-10,7648,734,105,22578.09,214.88
474,210,2024-06-02,67007,7987,1137,370369.67,2095.61
475,122,2025-05-12,143662,4431,447,170141.23,10384.44
476,71,2025-09-27,191999,18440,2703,740637.06,3954.58
477,32,2024-05-17,139247,6554,125,44986.4,6386.01
478,276,2024-08-22,87917,3468,145,36496.23,2385.21
479,79,2025-11-04,61703,3084,305,118749.6,3132.99
