Conversion_ID,Customer_ID,Campaign_ID,Conversion_Date,Revenue
111,17464,267,2025-08-05,219.2
112,435,98,2024-03-12,346.3
113,11193,29,2024-09-25,848.44
114,46795,251,2025-07-13,58.65
115,34116,19,2024-05-27,285.42
116,37368,178,2024-08-06,186.01
117,46989,208,2025-02-26,609.47
118,823,34,2025-01-23,594.85
119,20607,121,2025-07-13,343.55
120,40915,127,2024-02-15,421.41
121,18826,152,2024-10-06,449.65
122,49148,144,2025-04-02,370.17
123,19869,99,2024-11-22,390.33
124,21227,154,2024-07-26,124.16
125,35393,67,2024-11-28,219.76
126,5772,275,2025-02-12,382.27
127,19568,159,2025-05-21,131.58
128,8709,206,2025-05-15,406.22
129,38462,245,2024-07-05,169.12
130,34753,85,2025-12-18,599.75
131,26596,124,2025-02-05,405.59
132,25559,44,2025-04-26,105.49
133,29135,44,2025-10-19,392.31
134,34746,51,2024-10-12,79.82
135,12875,198,2025-07-29,848.92
136,10581,7,2024-05-08,205.68
137,23999,134,2024-12-01,266.4
138,32889,60,2025-01-31,543.64
139,39958,237,2025-10-20,548.5
140,13857,12,2024-07-03,1508.69
141,43876,95,2025-04-15,138.23
142,4164,111,2025-01-22,265.42
143,21210,223,2024-06-16,422.29
144,19457,297,2025-03-24,49.16
145,46064,285,2025-06-15,483.83
146,41736,105,2025-04-01,554.11
147,42717,287,2024-01-25,144.46
148,2638,217,2025-12-13,215.23
149,17416,73,2025-11-18,256.17
150,12572,259,2024-06-05,403.15
151,9239,93,2024-05-05,525.85
152,42799,233,2025-12-22,454.15
153,24458,294,2024-08-28,450.31
154,15357,248,2025-10-20,557.35
155,5479,88,2025-03-08,602.46
156,14666,184,2025-10-14,393.33
157,10582,197,2025-07-21,519.7
158,8355,245,2025-01-05,184.92
159,39214,19,2024-04-26,711.0
160,47071,90,2024-01-01,318.09
161,40707,118,2024-04-03,362.22
162,624,194,2025-10-04,73.22
163,18130,218,2024-08-31,547.77
164,20193,1,2025-05-27,376.73
165,20857,63,2025-06-09,78.58
166,37983,3,2024-08-10,199.53
167,7767,57,2024-05-03,169.56
168,39249,19,2024-03-07,94.21
169,37379,98,2024-07-31,213.36
170,8536,145,2024-06-22,362.19
171,36985,134,2024-12-03,797.23
172,41533,219,2025-02-06,361.78
173,49211,246,2025-08-20,348.36
174,39221,99,2024-05-16,414.47
175,47275,203,2025-05-31,438.16
176,13663,37,2024-10-25,108.56
177,5819,92,2025-08-16,353.43
178,47611,223,2024-05-02,560.92
179,9452,111,2025-05-18,639.41
180,8897,114,2024-11-07,370.2
181,16126,14,2025-03-15,101.2
182,19548,144,2025-06-03,144.75
183,3408,100,2024-06-01,446.57
184,15744,150,2024-03-28,96.27
185,7212,188,2025-04-28,128.48
186,21684,17,2024-01-18,335.08
187,39739,96,2025-10-16,925.17
188,8418,210,2024-03-28,60.68
189,48495,234,2025-07-25,349.58
190,12325,92,2025-08-21,41.64
191,36529,211,2025-12-14,350.28
192,11585,28,2024-11-30,203.35
193,21501,227,2025-08-31,450.97
194,25288,160,2024-01-07,714.65
195,7839,22,2025-06-08,346.99
196,26441,201,2024-06-07,467.77
197,19294,75,2024-01-17,85.82
198,47767,182,2025-09-24,486.92
199,36452,156,2024-09-04,619.9
200,7213,141,2025-05-20,155.07
201,3562,110,2024-06-03,450.77
202,19790,183,2024-01-24,158.67
203,24437,257,2024-08-17,897.23
204,16546,194,2024-04-11,211.61
205,11947,28,2024-06-24,188.04
206,41889,110,2024-12-27,85.88
207,31707,243,2025-09-20,509.35
208,45569,147,2024-06-28,368.53
209,2978,192,2024-03-23,383.0
210,3804,256,2024-08-17,57.95
211,18831,189,2025-08-15,420.23
212,42634,130,2025-09-01,145.06
213,18632,65,2024-04-15,60.54
214,7941,87,2024-11-14,153.32
215,6688,97,2024-10-21,372.8
216,44042,162,2024-06-19,353.81
217,15432,226,2025-08-08,149.03
218,17054,247,2024-07-30,315.46
219,45481,71,2024-08-26,343.59
220,13481,130,2024-11-07,43.08
221,20661,10,2024-11-19,425.95
222,1723,245,2024-11-11,461.04
223,34261,122,2024-04-15,443.5
224,38038,186,2024-10-15,257.29
225,619,251,2024-05-15,147.38
226,38979,34,2025-08-14,251.98
227,18360,211,2025-03-24,417.82
228,36245,277,2024-06-23,94.7
229,18712,156,2024-02-28,291.78
230,10469,257,2024-07-29,469.63
231,193,186,2024-10-07,137.66
232,8161,184,2024-09-26,264.39
233,19738,74,2025-09-15,138.63
234,663,15,2024-06-12,252.11
235,7097,84,2025-10-13,392.22
236,19417,236,2025-02-11,566.88
237,46083,142,2024-02-01,2477.08
238,23269,86,2025-05-15,969.1
239,37790,284,2025-10-25,91.86
240,11455,271,2025-02-02,117.27
241,7433,76,2025-04-15,594.16
242,3263,184,2025-01-02,882.8
243,29119,55,2025-12-01,901.24
244,2681,161,2024-07-20,242.04
245,42733,68,2024-10-05,38.35
246,7346,261,2025-09-08,2278.62
247,49926,150,2025-07-31,154.73
248,31992,58,2024-07-22,258.47
249,34533,70,2024-07-03,296.67
250,11913,239,2025-11-10,345.89
251,40896,299,2024-03-28,516.08
252,44196,33,2025-01-31,280.8
253,32935,173,2025-11-17,562.94
254,38091,227,2024-09-26,472.7
255,41136,99,2024-05-03,290.7
256,5885,150,2025-02-23,142.1
257,7638,35,2025-07-18,283.99
258,33052,216,2025-07-01,345.72
259,1512,261,2024-07-05,922.02
260,28722,105,2025-11-16,730.8
261,32072,105,2024-02-02,442.0
262,33635,264,2025-01-09,128.58
263,29965,208,2025-09-06,646.75
264,36277,51,2024-08-30,222.22
265,32854,178,2024-10-30,645.28
266,48466,279,2024-03-31,348.29
267,25808,41,2024-02-18,116.67
268,23144,128,2024-08-06,301.57
269,44432,122,2024-11-25,330.1
270,17954,130,2025-05-03,64.82
271,35477,142,2024-08-11,154.0
272,2318,9,2024-11-24,1472.61
273,24336,279,2025-04-02,371.99
274,26672,79,2024-09-16,407.43
275,5000,92,2024-07-21,106.9
276,28962,134,2025-08-25,151.12
277,11640,239,2025-01-11,998.5
278,15413,134,2024-01-28,35.14
279,12064,295,2025-09-23,35.25
280,46819,158,2024-02-05,271.47
281,44935,176,2025-10-04,444.75
282,5685,209,2024-12-05,389.1
283,26324,8,2024-03-30,270.24
284,29031,158,2024-05-21,339.68
285,18872,285,2025-09-20,901.58
286,27827,263,2025-08-29,1394.15
287,26813,9,2024-10-20,763.72
288,40447,67,2025-05-07,303.39
289,22769,105,2024-10-12,596.23
290,10173,289,2025-12-11,412.81
291,48382,167,2025-02-13,606.73
292,27479,144,2024-04-14,167.58
293,26313,130,2024-02-25,626.49
294,34350,17,2024-02-08,361.05
295,8588,195,2025-12-20,54.37
296,39548,83,2025-04-13,130.24
297,24133,96,2024-12-11,425.42
298,5424,145,2025-06-09,411.59
299,24803,279,2025-10-24,307.03
300,28910,272,2025-08-07,720.07
301,11970,217,2025-05-26,228.68
302,44636,62,2025-05-08,393.1
303,45817,113,2025-04-05,124.65
304,20149,195,2025-10-06,166.26
305,13839,182,2025-12-08,35.12
306,5090,267,2024-09-06,332.79
307,479,16,2024-06-03,160.92
308,39251,248,2025-09-14,797.52
309,36538,27,2024-12-10,324.86
310,20477,62,2025-09-27,267.23
311,23157,188,2025-04-01,462.54
312,33070,216,2025-10-17,298.7
313,15072,272,2024-02-01,283.33
314,19840,25,2024-07-01,416.62
315,44928,130,2024-03-12,112.03
316,11846,64,2024-04-05,111.38
317,2056,298,2025-09-12,58.41
318,3099,31,2024-05-06,546.63
319,41016,71,2025-03-22,113.47
320,46741,88,2024-08-07,319.86
321,10290,14,2025-11-15,997.2
322,23261,271,2024-12-04,93.41
323,38248,86,2024-09-21,66.75
324,19039,33,2024-05-11,864.17
325,40200,95,2024-08-26,439.43
326,24076,32,2025-07-01,163.44
327,661,136,2025-01-19,145.61
328,34052,261,2024-08-06,90.3
329,27530,189,2025-09-06,483.73
330,4617,282,2025-06-10,123.34
331,7810,287,2025-09-15,305.95
332,27848,211,2025-12-10,221.28
333,31807,208,2024-07-24,77.36
334,20146,191,2024-10-16,231.03
335,6894,241,2024-06-03,314.08
336,47048,105,2024-01-23,296.07
337,30437,262,2024-12-14,618.54
338,45641,207,2025-02-21,334.27
339,20298,155,2024-04-18,612.62
340,48048,52,2024-02-11,474.29
341,39876,49,2025-11-07,330.88
342,33409,120,2025-04-25,102.41
343,22931,141,2024-04-08,486.88
344,28338,76,2025-07-15,231.38
345,11411,125,2024-07-06,306.76
346,16811,41,2024-10-10,257.78
347,9704,284,2025-11-04,156.63
348,8173,185,2024-12-20,452.55
349,30481,222,2024-06-07,1476.2
350,37938,45,2024-03-31,526.34
351,11284,140,2025-05-24,338.48
352,9249,136,2024-09-04,245.34
353,27111,246,2024-03-16,564.86
354,26623,144,2024-11-12,434.18
355,42835,34,2024-02-29,181.17
356,19933,246,2025-09-16,135.82
357,16748,188,2025-10-21,28.5
358,28136,92,2024-06-27,122.38
359,44143,206,2024-08-07,277.86
360,33843,238,2024-11-08,363.26
361,36426,177,2024-06-14,426.11
362,28272,263,2025-05-27,227.3
363,17694,41,2024-08-30,141.64
364,33532,129,2025-09-11,559.5
365,39051,7,2024-12-24,179.24
366,36587,165,2025-01-24,276.03
367,10288,132,2025-12-12,317.13
368,45110,120,2025-11-08,296.84
369,29687,165,2025-10-10,221.76
370,20123,236,2025-04-26,423.68
371,43997,44,2024-01-15,81.97
372,14765,146,2024-03-10,420.55
373,5396,133,2024-11-26,266.01
374,7837,144,2025-09-08,250.56
375,43268,128,2024-03-11,334.44
376,22602,73,2025-02-02,625.91
377,29506,143,2024-07-29,521.39
378,27993,212,2025-07-16,436.65
379,31324,114,2024-04-28,496.79
380,47321,94,2024-12-18,29.95
381,44813,216,2025-06-14,341.59
382,13864,226,2025-03-20,136.32
383,46493,140,2025-01-29,230.92
384,24966,297,2024-04-10,279.5
385,12443,183,2024-09-02,418.96
386,39884,106,2025-05-16,50.77
387,39873,284,2025-05-24,157.53
388,9130,277,2024-08-21,474.4
389,27224,133,2025-05-09,373.13
390,42775,202,2025-06-11,530.26
391,36023,79,2024-07-18,382.6
392,7840,286,2025-11-13,26.68
393,7111,212,2024-04-09,592.18
394,5141,271,2025-03-18,290.05
395,24168,243,2024-11-09,464.9
396,28266,182,2025-11-05,84.97
397,33339,96,2025-01-14,847.52
398,46933,188,2025-08-17,432.12
399,30315,122,2025-07-20,201.38
400,33028,51,2024-01-18,176.84
401,27842,180,2025-03-01,78.29
402,10928,88,2025-05-06,243.57
403,35544,256,2025-12-25,428.14
404,45766,232,2024-02-04,2196.0
405,10270,174,2025-07-12,633.11
406,25483,126,2024-09-26,761.57
407,13877,235,2025-12-22,902.64
408,1071,236,2024-07-20,602.15
409,41919,293,2024-09-20,494.86
410,10478,102,2025-08-20,635.42
411,5736,216,2024-01-03,252.37
412,2361,244,2025-07-07,583.03
413,13603,155,2025-11-11,250.08
414,730,15,2024-01-05,142.69
415,20466,212,2025-10-22,456.78
416,42773,92,2025-06-17,450.28
417,24805,23,2025-01-22,73.88
418,9385,279,2024-06-09,187.51
419,27573,104,2025-05-30,621.49
420,46679,128,2024-11-06,306.0
421,13799,45,2024-07-30,38.48
422,29715,137,2024-11-07,474.25
423,33715,124,2024-07-11,188.59
424,38294,225,2024-10-28,193.12
425,47987,211,2024-08-11,367.16
426,39772,278,2025-06-15,358.36
427,35045,72,2025-05-20,222.32
428,10950,281,2025-08-05,626.1
429,15730,5,2025-09-13,58.03
430,28425,50,2024-09-02,336.2
431,27677,300,2024-01-09,179.72
432,7791,119,2025-05-24,313.85
433,29970,175,2025-11-20,432.67
434,36940,22,2025-04-07,600.38
435,24940,284,2025-11-25,190.56
436,21036,141,2024-02-10,292.1
437,790,250,2024-06-17,419.79
438,36085,53,2024-04-19,153.63
439,45387,171,2024-10-28,409.06
440,43365,172,2025-08-11,28.27
441,14861,69,2024-12-17,357.72
442,13152,122,2024-05-24,444.62
443,1880,104,2024-06-19,68.9
444,1168,178,2024-04-07,631.91
445,12285,73,2025-05-22,170.16
446,929,168,2024-01-19,339.46
447,42375,260,2025-09-07,300.52
448,39793,288,2024-10-17,411.58
449,48699,72,2025-02-02,363.8
450,45480,179,2024-03-10,137.26
451,34393,171,2025-07-02,923.05
452,42178,54,2024-02-21,29.91
453,15792,137,2024-11-23,105.83
454,14301,38,2024-09-07,42.46
455,24568,147,2024-07-08,217.93
456,33250,300,2025-06-30,60.86
457,41435,269,2025-08-13,2225.0
458,44303,4,2025-09-07,212.33
459,106,167,2024-04-02,286.78
460,8545,278,2025-08-30,329.75
461,32805,279,2025-03-26,499.96
462,35831,99,2024-09-14,300.38
463,24817,66,2025-12-21,365.21
464,4115,172,2024-09-21,155.61
465,43945,100,2025-05-04,640.87
466,46843,120,2025-11-17,78.05
467,31561,140,2024-05-04,129.25
468,43638,175,2024-08-15,616.68
469,20297,169,2024-12-27,404.47
470,10496,128,2025-03-25,304.58
471,33668,151,2024-06-28,252.51
472,18673,185,2024-03-03,363.49
473,18879,125,2025-07-14,129.73
474,7295,217,2025-09-12,214.87
475,36007,171,2024-12-03,395.61
476,14598,198,2025-11-18,648.83
477,36629,15,2024-02-07,29.46
478,8793,100,2025-02-02,305.61
479,27203,239,2024-11-04,364.55
480,22769,252,2024-07-28,180.33
481,32439,44,2025-11-07,452.39
482,8192,172,2024-02-09,849.61
483,28445,257,2025-04-24,335.07
484,25086,55,2025-09-08,612.39
485,9393,4,2025-08-31,530.37
486,19317,44,2024-06-15,217.37
487,40348,265,2025-12-30,391.6
488,20760,249,2024-03-19,376.35
489,29157,281,2025-07-18,607.17
490,37462,6,2025-05-25,392.45
491,15428,194,2025-12-19,280.12
492,4513,114,2024-06-17,807.86
493,15695,19,2024-07-15,527.54
494,46758,71,2025-10-15,343.65
495,44057,126,2025-11-21,254.98
496,24287,256,2025-11-15,749.53
497,48927,105,2024-10-07,376.29
498,88,173,2024-07-17,296.24
499,33372,197,2025-06-05,599.7
500,32202,23,2025-04-01,51.44
501,13736,286,2024-10-10,477.2
502,4159,158,2024-05-26,389.82
503,48565,262,2025-12-01,177.88
504,20099,85,2024-01-03,476.75
505,32742,48,2024-12-27,770.99
506,16804,216,2024-05-06,181.03
507,48596,53,2025-12-18,386.86
508,5504,97,2024-09-15,223.43
509,48063,67,2025-11-21,146.48
510,9627,129,2025-11-03,494.0
511,35209,87,2024-04-04,27.13
512,22332,262,2025-05-02,374.42
513,906,225,2024-12-08,605.84
514,12594,275,2024-04-22,630.62
515,755,131,2024-01-12,58.61
516,47493,145,2024-07-11,895.63
517,11638,6,2024-03-27,495.14
518,34706,261,2024-07-25,47.55
519,29380,209,2024-11-30,479.49
520,7920,270,2025-09-30,451.97
521,30770,195,2024-06-03,570.25
522,44155,290,2025-01-19,85.46
523,4833,122,2025-03-10,156.19
524,2824,273,2024-10-30,446.02
525,35666,173,2025-01-07,428.93
526,12200,147,2025-03-17,950.43
527,3603,240,2024-06-23,766.55
528,35898,205,2024-10-25,499.94
529,21947,277,2024-08-26,592.23
530,35431,130,2025-08-30,642.13
531,31716,8,2025-01-17,563.05
532,7790,184,2025-06-24,143.31
533,19789,198,2025-06-07,484.98
534,29927,138,2024-03-20,402.9
535,35116,84,2025-10-20,384.55
536,47679,6,2025-03-10,266.76
537,15693,228,2025-02-01,439.3
538,14070,248,2025-04-09,530.39
539,46994,36,2024-09-18,118.66
540,40066,286,2025-07-19,128.8
541,16358,69,2024-07-31,342.42
542,25150,293,2025-10-23,89.06
543,34892,19,2024-03-07,388.04
544,21352,11,2025-06-07,411.82
545,29199,132,2024-09-21,154.55
546,3118,17,2025-03-11,279.87
547,18592,18,2024-05-20,138.18
548,24121,64,2025-12-22,203.93
549,5889,76,2024-08-02,259.05
550,39367,54,2025-05-14,567.43
551,44722,156,2024-02-23,554.48
552,49420,141,2025-10-19,46.86
553,21153,192,2025-02-04,985.77
554,34627,265,2024-06-19,189.61
555,26029,35,2024-01-23,1935.54
556,38786,43,2025-10-06,340.57
557,29247,50,2024-07-29,399.52
558,20004,123,2025-09-01,261.69
559,4244,56,2024-05-04,847.84
560,1793,18,2024-12-06,189.19
561,40584,129,2025-08-17,1489.26
562,26044,102,2025-11-07,421.26
563,13046,206,2025-02-24,227.1
564,14598,107,2025-08-20,72.79
565,46279,248,2025-07-06,180.23
566,22050,80,2025-07-14,170.79
567,47310,42,2024-03-23,436.41
568,4004,220,2024-12-14,436.0
569,40947,266,2024-03-04,70.37
570,27254,126,2025-10-28,339.17
571,20008,247,2025-09-22,215.91
572,26945,19,2025-12-27,567.18
573,37132,180,2024-03-05,324.12
574,14374,158,2025-09-21,80.0
575,8920,48,2025-04-16,126.62
576,7108,167,2024-03-16,357.76
577,21693,176,2024-06-29,427.58
578,31705,104,2025-10-06,531.08
579,19477,187,2025-05-29,260.46
580,37592,91,2025-05-11,385.19
581,3134,255,2025-04-24,545.57
582,14779,216,2025-11-14,99.47
583,30454,262,2024-03-13,171.45
584,21580,248,2024-01-21,278.55
585,3328,186,2025-07-22,122.53
586,18971,125,2024-12-25,308.2
587,4360,173,2025-06-01,64.11
588,23324,214,2025-01-05,56.3
589,47139,296,2025-02-05,263.93
590,37488,103,2024-09-22,155.22
591,37496,14,2024-02-01,400.46
592,28066,148,2025-10-30,231.91
593,27255,191,2025-05-29,230.03
594,20097,275,2025-05-23,496.98
595,28535,228,2024-10-25,720.47
596,45217,92,2024-07-18,500.75
597,5638,28,2025-04-19,170.93
598,49852,276,2024-10-30,382.98
599,6317,171,2024-07-03,706.88
600,7049,106,2025-07-28,814.59
601,34370,53,2025-12-19,300.57
602,17250,13,2025-06-25,71.87
603,22595,192,2024-01-14,419.67
604,27312,10,2025-11-06,221.38
605,29567,150,2024-10-26,439.03
606,36711,164,2025-06-13,239.05
607,23650,140,2025-04-03,162.42
608,39165,261,2024-01-06,460.83
609,9010,86,2025-08-01,175.91
610,36453,285,2025-08-20,437.35
611,7543,148,2025-11-16,133.07
612,2959,297,2024-02-28,45.26
613,35408,44,2024-10-05,499.32
614,13383,115,2025-12-15,126.62
615,17156,70,2025-05-30,737.71
616,10966,55,2024-01-17,262.98
617,6794,13,2024-01-23,45.21
618,30306,292,2025-04-24,639.35
619,2139,55,2024-05-14,805.9
620,20295,50,2025-05-11,334.93
621,31892,3,2025-09-21,91.58
622,48307,196,2024-08-13,379.2
623,24517,148,2025-01-19,513.68
624,17598,275,2024-04-04,327.79
625,413,268,2025-03-23,419.73
626,20996,294,2025-04-13,905.53
627,9245,151,2024-09-22,55.87
628,12037,2,2024-08-13,968.35
629,17915,75,2024-03-21,291.51
630,45302,141,2024-06-28,195.92
631,43266,233,2025-05-24,49.96
632,16812,147,2024-05-28,517.21
633,14609,216,2024-03-18,465.13
634,47694,82,2025-04-28,311.62
635,49933,169,2024-05-25,129.01
636,41150,128,2024-08-19,361.07
637,19856,3,2024-10-28,161.31
638,20961,89,2024-12-01,386.66
639,17222,151,2025-03-26,303.8
640,9646,34,2024-05-14,205.73
641,24602,249,2024-08-19,177.18
642,11908,110,2025-03-28,499.14
643,23998,168,2025-12-28,701.44
644,46296,114,2024-10-05,598.34
645,43280,225,2025-06-07,189.93
646,11748,245,2025-03-01,114.06
647,16742,146,2025-07-04,318.53
648,43464,219,2025-09-16,356.34
649,26764,294,2024-08-07,243.54
650,20936,149,2024-11-22,554.68
651,35402,93,2025-10-08,380.45
652,40869,97,2025-09-12,443.74
653,28242,25,2024-05-28,214.02
654,48380,235,2024-07-15,100.9
655,38817,41,2024-06-22,424.76
656,10424,298,2025-02-09,637.96
657,1603,82,2025-07-25,323.82
658,39542,10,2024-06-26,37.68
659,1830,283,2025-08-15,1773.4
660,22128,286,2025-01-31,322.2
661,46045,63,2024-12-03,975.15
662,41752,120,2024-07-10,54.78
663,8610,194,2025-12-05,413.15
664,10886,173,2025-03-09,136.16
665,47285,298,2024-07-10,234.49
666,25903,251,2025-09-06,914.49
667,22771,260,2024-07-28,601.0
668,12460,200,2025-01-06,529.04
669,38680,31,2025-09-30,646.57
670,32725,122,2024-08-28,232.56
671,36139,300,2025-02-08,606.06
672,49516,162,2024-11-15,480.63
673,10830,69,2025-08-05,172.43
674,166,248,2025-10-31,599.95
675,20296,218,2024-05-13,130.39
676,38443,264,2024-04-20,203.67
677,38767,63,2025-07-02,287.0
678,41593,14,2025-10-04,287.75
679,8100,161,2024-05-08,446.51
680,35458,219,2024-06-03,369.07
681,42108,173,2024-12-05,56.64
682,48290,152,2025-09-03,388.39
683,47654,128,2025-06-22,399.59
684,9094,252,2025-08-31,854.19
685,2769,178,2025-02-01,207.55
686,45953,231,2025-01-24,392.82
687,3245,135,2024-03-15,165.79
688,6772,266,2025-01-22,1054.22
689,23744,87,2024-03-28,517.16
690,31747,275,2024-02-09,96.02
691,6964,136,2025-01-25,282.5
692,419,261,2024-12-23,288.91
693,48490,294,2025-01-26,600.45
694,2710,84,2025-11-03,416.57
695,46857,26,2024-02-15,332.08
696,32107,219,2025-01-27,364.69
697,29895,69,2024-08-19,117.85
698,49910,285,2025-01-21,635.25
699,39673,277,2024-05-31,327.67
700,24406,280,2025-11-07,98.79
701,25043,169,2025-03-19,412.05
702,35536,84,2025-12-18,339.88
703,5248,51,2025-08-24,94.75
704,17003,253,2024-06-05,256.11
705,49544,32,2024-03-17,1856.31
706,43172,78,2025-12-23,189.58
707,16235,103,2025-04-27,359.91
708,22748,85,2024-12-28,731.78
709,41006,76,2024-02-18,448.33
710,24879,34,2025-07-15,629.25
711,25381,239,2025-08-05,344.47
712,2424,78,2025-11-10,465.89
713,2148,109,2024-02-18,624.27
714,48723,131,2025-07-11,236.96
715,15766,189,2025-12-06,179.75
716,31154,291,2025-09-17,193.93
717,32827,275,2024-04-17,704.54
718,21081,87,2024-10-13,266.42
719,15409,232,2024-05-27,379.6
720,14759,109,2025-11-29,289.55
721,47013,59,2025-01-31,350.87
722,25343,284,2024-07-14,302.83
723,18765,242,2024-04-08,2436.69
724,21974,257,2025-07-18,158.66
725,44404,187,2024-03-15,482.72
726,10772,124,2025-06-17,441.22
727,19921,122,2024-10-19,147.86
728,246,115,2025-02-28,717.69
729,35899,60,2025-07-01,217.59
730,2299,87,2024-12-26,94.95
731,1440,137,2024-04-27,295.61
732,20373,249,2025-08-17,241.24
733,43213,113,2025-07-17,75.55
734,35258,284,2025-06-14,145.28
735,45393,205,2025-06-30,776.76
736,9661,13,2025-08-08,867.97
737,8198,181,2025-10-23,310.8
738,2112,47,2025-04-15,118.49
739,1484,291,2025-12-17,279.63
740,11059,149,2024-10-17,566.11
741,48270,40,2025-05-24,68.67
742,31796,141,2024-10-22,454.39
743,41575,279,2024-07-01,439.03
744,7585,130,2025-05-21,442.65
745,27411,164,2024-06-14,223.95
746,47511,188,2025-08-06,463.91
747,43471,105,2024-06-14,206.15
748,40106,82,2024-05-10,831.68
749,28599,257,2025-06-12,486.89
750,33080,147,2024-12-29,463.66
751,21545,144,2024-06-05,263.52
752,30671,285,2024-09-15,333.35
753,8706,297,2025-09-02,1323.79
754,45552,172,2024-09-17,30.22
755,23997,271,2025-11-04,424.28
756,16146,46,2025-04-04,510.3
757,26390,36,2025-08-05,86.69
758,40108,161,2025-03-30,279.16
759,30119,226,2024-08-19,410.63
760,41453,122,2025-04-02,126.89
761,47905,113,2024-07-18,865.46
762,25527,62,2024-07-21,294.05
763,18343,4,2024-08-14,295.58
764,3894,104,2024-01-03,315.78
765,9823,218,2024-05-01,459.7
766,24171,286,2025-11-14,111.35
767,467,114,2025-05-19,442.63
768,34301,201,2025-03-14,427.42
769,27463,172,2025-06-04,256.1
770,42915,71,2025-04-16,233.97
771,5337,80,2024-03-25,301.67
772,45343,161,2025-07-11,95.63
773,22341,157,2024-08-09,457.47
774,16979,293,2024-07-09,688.88
